LGDNAME,LGDCode
Antrim and Newtownabbey,N09000001
Armagh Banbridge and Craigavon,N09000002
Belfast,N09000003
Causeway Coast and Glens,N09000004
Derry and Strabane,N09000005
Fermanagh and Omagh,N09000006
Lisburn and Castlereagh,N09000007
Mid and East Antrim,N09000008
Mid Ulster,N09000009
Newry Mourne and Down,N09000010
North Down and Ards,N09000011
 
